Complaint_ID,Complaint_Date,Channel,Region,Product,Category,Issue,Priority,Resolution_Time_Hours,CSAT_Score,Sentiment,Status
CMP-0053,2026-07-08,Email,India,Premium Plan,Technical Issue,Website page not loading,High,16,5,Positive,Resolved
CMP-0054,2026-07-03,Chat,India,Web Store,Billing & Payments,Refund not received,High,23,5,Positive,Resolved
CMP-0055,2026-07-31,Email,Japan,Marketplace,Technical Issue,Mobile app crashes,Low,19,5,Positive,Resolved
CMP-0056,2026-07-18,Chat,India,Standard Plan,Billing & Payments,Unexpected charge on account,Low,4,5,Positive,Resolved
CMP-0057,2026-07-24,Chat,India,Standard Plan,Delivery,Delivery address issue,Medium,28,5,Positive,Resolved
CMP-0058,2026-07-03,Web Form,UK,Mobile App,Returns & Refunds,Return request not processed,Medium,39,4,Positive,Resolved
CMP-0059,2026-07-25,Chat,Japan,Premium Plan,Billing & Payments,Payment failed but money was deducted,Low,13,4,Positive,Resolved
CMP-0060,2026-07-08,Phone,India,Premium Plan,Billing & Payments,Charged twice for the same order,High,19,5,Positive,Resolved
CMP-0061,2026-07-20,Web Form,India,Mobile App,Returns & Refunds,Return request not processed,High,53,3,Neutral,Resolved
CMP-0062,2026-07-06,Chat,India,Premium Plan,Returns & Refunds,Refund status unclear,High,62,3,Neutral,Escalated
CMP-0063,2026-07-30,Social Media,India,Mobile App,Login & Account,Account locked after login attempts,Low,12,5,Positive,Pending
CMP-0064,2026-07-04,Email,USA,Web Store,Subscription,Subscription renewed unexpectedly,Medium,10,5,Positive,Resolved
CMP-0065,2026-07-03,Chat,Japan,Premium Plan,Product Quality,Product arrived damaged,Medium,37,4,Positive,Resolved
CMP-0066,2026-07-23,Chat,India,Standard Plan,Product Quality,Product arrived damaged,Medium,16,5,Positive,Resolved
CMP-0067,2026-07-09,Chat,USA,Marketplace,Returns & Refunds,Exchange request pending,Medium,26,5,Positive,Pending
CMP-0068,2026-07-11,Phone,Japan,Standard Plan,Subscription,Subscription renewed unexpectedly,Low,10,5,Positive,Resolved
CMP-0069,2026-07-18,Chat,USA,Premium Plan,Delivery,Wrong delivery status,Low,20,4,Positive,Resolved
CMP-0070,2026-07-21,Chat,India,Standard Plan,Login & Account,Two-factor authentication issue,Medium,12,4,Positive,Resolved
CMP-0071,2026-07-12,Phone,India,Marketplace,Delivery,Delivery address issue,Medium,30,5,Positive,Resolved
CMP-0072,2026-07-09,Chat,Japan,Premium Plan,Login & Account,Cannot update profile details,Low,4,5,Positive,Resolved
CMP-0073,2026-07-24,Email,USA,Premium Plan,Login & Account,Account locked after login attempts,Medium,10,5,Positive,Resolved
CMP-0074,2026-07-01,Chat,India,Premium Plan,Billing & Payments,Refund not received,High,7,4,Positive,Resolved
CMP-0075,2026-07-04,Phone,India,Standard Plan,Billing & Payments,Unexpected charge on account,High,16,5,Positive,Resolved
CMP-0076,2026-07-27,Email,USA,Mobile App,Delivery,Order delivered late,Medium,30,5,Positive,Resolved
CMP-0077,2026-07-03,Email,Japan,Premium Plan,Login & Account,Account locked after login attempts,Low,7,5,Positive,Resolved
CMP-0078,2026-07-10,Phone,India,Standard Plan,Returns & Refunds,Refund status unclear,Medium,46,4,Positive,Resolved
CMP-0079,2026-07-09,Web Form,India,Web Store,Returns & Refunds,Return request not processed,High,69,4,Positive,Resolved
CMP-0080,2026-07-16,Email,India,Marketplace,Billing & Payments,Charged twice for the same order,High,8,5,Positive,Resolved
CMP-0081,2026-07-26,Email,India,Premium Plan,Login & Account,Two-factor authentication issue,Low,6,5,Positive,Pending
CMP-0082,2026-07-03,Phone,USA,Web Store,Billing & Payments,Refund not received,High,19,4,Positive,Resolved
CMP-0083,2026-07-23,Chat,Japan,Premium Plan,Returns & Refunds,Return pickup delayed,High,56,4,Positive,Resolved
CMP-0084,2026-07-20,Chat,USA,Premium Plan,Technical Issue,Mobile app crashes,High,23,5,Positive,Resolved
CMP-0085,2026-07-19,Social Media,UK,Premium Plan,Service Experience,Support response was slow,Low,20,4,Positive,Resolved
CMP-0086,2026-07-03,Email,UK,Standard Plan,Returns & Refunds,Return pickup delayed,Medium,28,4,Positive,Resolved
CMP-0087,2026-07-22,Chat,USA,Premium Plan,Billing & Payments,Refund not received,Medium,13,5,Positive,Resolved
CMP-0088,2026-07-27,Social Media,India,Marketplace,Delivery,Order delivered late,Low,30,5,Positive,Resolved
CMP-0089,2026-07-25,Phone,Japan,Standard Plan,Billing & Payments,Unexpected charge on account,High,14,5,Positive,Resolved
CMP-0090,2026-07-26,Email,Singapore,Marketplace,Delivery,Delivery address issue,Medium,25,5,Positive,Resolved
CMP-0091,2026-07-15,Email,USA,Mobile App,Returns & Refunds,Return request not processed,Low,51,4,Positive,Resolved
CMP-0092,2026-07-08,Chat,Japan,Standard Plan,Login & Account,Cannot update profile details,Medium,6,5,Positive,Resolved
CMP-0093,2026-07-11,Web Form,India,Standard Plan,Returns & Refunds,Refund status unclear,Low,38,5,Positive,Resolved
CMP-0094,2026-07-12,Web Form,Japan,Standard Plan,Delivery,Delivery address issue,Low,32,4,Positive,Resolved
CMP-0095,2026-07-08,Social Media,India,Standard Plan,Subscription,Subscription renewed unexpectedly,Medium,11,4,Positive,Resolved
CMP-0096,2026-07-16,Chat,UK,Web Store,Subscription,Subscription benefit missing,Medium,13,5,Positive,Resolved
CMP-0097,2026-07-24,Email,Singapore,Mobile App,Product Quality,Wrong product received,Low,38,4,Positive,Escalated
CMP-0098,2026-07-28,Chat,USA,Mobile App,Technical Issue,Checkout button not working,Medium,19,5,Positive,Pending
CMP-0099,2026-07-08,Phone,India,Premium Plan,Product Quality,Product arrived damaged,Medium,24,5,Positive,Resolved
CMP-0100,2026-07-02,Chat,USA,Mobile App,Returns & Refunds,Return request not processed,Medium,42,4,Positive,Resolved
CMP-0101,2026-07-06,Chat,Japan,Web Store,Technical Issue,Website page not loading,Medium,20,5,Positive,Resolved
CMP-0102,2026-07-09,Email,UK,Standard Plan,Technical Issue,Website page not loading,High,24,5,Positive,Resolved
CMP-0103,2026-07-31,Phone,India,Standard Plan,Technical Issue,Checkout button not working,High,9,4,Positive,Pending
CMP-0104,2026-07-04,Email,India,Standard Plan,Technical Issue,Checkout button not working,Low,21,5,Positive,Pending
CMP-0105,2026-07-30,Email,Japan,Mobile App,Billing & Payments,Payment failed but money was deducted,Low,16,5,Positive,Resolved
CMP-0106,2026-07-22,Email,India,Premium Plan,Product Quality,Missing component in package,Low,43,5,Positive,Resolved
CMP-0107,2026-07-12,Chat,Japan,Marketplace,Returns & Refunds,Return request not processed,High,56,4,Positive,Resolved
CMP-0108,2026-07-29,Email,India,Marketplace,Delivery,Delivery address issue,Medium,24,5,Positive,Resolved
CMP-0109,2026-07-26,Social Media,India,Premium Plan,Billing & Payments,Payment failed but money was deducted,Medium,10,5,Positive,Pending
CMP-0110,2026-07-18,Email,India,Premium Plan,Service Experience,Issue was transferred multiple times,Medium,18,5,Positive,Resolved
CMP-0111,2026-07-22,Web Form,Singapore,Mobile App,Delivery,Delivery address issue,High,50,3,Neutral,Resolved
CMP-0112,2026-07-21,Web Form,India,Mobile App,Subscription,Plan upgrade issue,Low,19,4,Positive,Resolved
CMP-0113,2026-07-04,Web Form,India,Standard Plan,Billing & Payments,Charged twice for the same order,Medium,11,5,Positive,Resolved
CMP-0114,2026-07-21,Chat,USA,Standard Plan,Login & Account,Two-factor authentication issue,Medium,10,4,Positive,Resolved
CMP-0115,2026-07-31,Phone,India,Standard Plan,Service Experience,Support response was slow,Medium,16,5,Positive,Pending
CMP-0116,2026-07-31,Email,India,Mobile App,Returns & Refunds,Return pickup delayed,Low,31,5,Positive,Resolved
CMP-0117,2026-07-26,Email,India,Web Store,Returns & Refunds,Return request not processed,Medium,42,4,Positive,Resolved
CMP-0118,2026-07-26,Web Form,India,Web Store,Delivery,Package not delivered,High,49,4,Positive,Resolved
CMP-0119,2026-07-22,Chat,USA,Mobile App,Service Experience,Agent was not helpful,Medium,6,5,Positive,Resolved
CMP-0120,2026-07-24,Email,India,Web Store,Delivery,Wrong delivery status,Medium,21,5,Positive,Resolved
CMP-0121,2026-07-08,Chat,India,Marketplace,Technical Issue,Checkout button not working,Low,13,5,Positive,Resolved
CMP-0122,2026-07-14,Email,Japan,Standard Plan,Delivery,Order delivered late,Medium,32,5,Positive,Resolved
CMP-0123,2026-07-09,Chat,India,Web Store,Billing & Payments,Charged twice for the same order,Low,8,5,Positive,Resolved
CMP-0124,2026-07-26,Chat,UK,Mobile App,Returns & Refunds,Return pickup delayed,Low,35,4,Positive,Resolved
CMP-0125,2026-07-11,Chat,USA,Standard Plan,Login & Account,Account locked after login attempts,High,16,5,Positive,Resolved
CMP-0126,2026-07-22,Chat,India,Web Store,Billing & Payments,Payment failed but money was deducted,High,7,5,Positive,Resolved
CMP-0127,2026-07-31,Web Form,Japan,Marketplace,Technical Issue,Checkout button not working,High,31,5,Positive,Resolved
CMP-0128,2026-07-28,Web Form,Singapore,Standard Plan,Billing & Payments,Unexpected charge on account,Low,6,5,Positive,Resolved
CMP-0129,2026-07-12,Email,Japan,Mobile App,Returns & Refunds,Refund status unclear,High,60,3,Neutral,Resolved
CMP-0130,2026-07-20,Web Form,USA,Marketplace,Delivery,Package not delivered,Low,32,5,Positive,Resolved
CMP-0131,2026-07-30,Email,India,Premium Plan,Returns & Refunds,Return pickup delayed,Medium,28,4,Positive,Resolved
CMP-0132,2026-07-03,Email,USA,Mobile App,Returns & Refunds,Exchange request pending,Medium,1,4,Positive,Resolved
CMP-0133,2026-07-20,Chat,India,Marketplace,Delivery,Wrong delivery status,Medium,25,4,Positive,Resolved
CMP-0134,2026-07-20,Email,UK,Standard Plan,Returns & Refunds,Return request not processed,High,65,3,Neutral,Resolved
CMP-0135,2026-07-16,Chat,India,Marketplace,Login & Account,Unable to reset password,Medium,8,5,Positive,Resolved
CMP-0136,2026-07-25,Email,India,Web Store,Service Experience,Support response was slow,High,33,3,Neutral,Resolved
CMP-0137,2026-07-13,Chat,Japan,Web Store,Delivery,Order delivered late,High,39,4,Positive,Resolved
CMP-0138,2026-07-14,Email,USA,Mobile App,Returns & Refunds,Return pickup delayed,Low,27,5,Positive,Resolved
CMP-0139,2026-07-13,Phone,India,Mobile App,Returns & Refunds,Exchange request pending,Medium,44,4,Positive,Pending
CMP-0140,2026-07-14,Email,USA,Web Store,Product Quality,Missing component in package,Medium,36,4,Positive,Resolved
CMP-0141,2026-07-17,Email,USA,Mobile App,Delivery,Wrong delivery status,Medium,29,5,Positive,Resolved
CMP-0142,2026-07-08,Phone,USA,Web Store,Login & Account,Cannot update profile details,High,15,4,Positive,Resolved
CMP-0143,2026-07-31,Phone,UK,Web Store,Billing & Payments,Refund not received,High,24,3,Neutral,Resolved
CMP-0144,2026-07-11,Phone,USA,Marketplace,Returns & Refunds,Exchange request pending,Medium,39,5,Positive,Resolved
CMP-0145,2026-07-17,Web Form,UK,Premium Plan,Technical Issue,Checkout button not working,Medium,19,4,Positive,Resolved
CMP-0146,2026-07-19,Phone,Japan,Standard Plan,Delivery,Order delivered late,Low,25,4,Positive,Resolved
CMP-0147,2026-07-31,Chat,Japan,Web Store,Subscription,Subscription renewed unexpectedly,Medium,12,5,Positive,Resolved
CMP-0148,2026-07-23,Chat,India,Web Store,Delivery,Order delivered late,Medium,31,4,Positive,Resolved
CMP-0149,2026-07-02,Chat,USA,Marketplace,Delivery,Wrong delivery status,High,36,4,Positive,Resolved
CMP-0150,2026-07-28,Chat,USA,Marketplace,Delivery,Delivery address issue,Medium,35,5,Positive,Resolved
CMP-0151,2026-07-05,Social Media,USA,Standard Plan,Subscription,Plan upgrade issue,Low,11,4,Positive,Resolved
CMP-0152,2026-07-03,Web Form,UK,Marketplace,Technical Issue,Checkout button not working,Medium,22,5,Positive,Resolved
CMP-0153,2026-07-08,Chat,USA,Web Store,Billing & Payments,Refund not received,High,13,5,Positive,Resolved
CMP-0154,2026-07-05,Phone,USA,Marketplace,Billing & Payments,Charged twice for the same order,High,20,4,Positive,Resolved
CMP-0155,2026-07-22,Phone,India,Premium Plan,Billing & Payments,Refund not received,Low,16,5,Positive,Resolved
CMP-0156,2026-07-29,Chat,India,Standard Plan,Product Quality,Product quality below expectation,Low,33,5,Positive,Resolved
CMP-0157,2026-07-31,Phone,Japan,Standard Plan,Technical Issue,Checkout button not working,High,23,5,Positive,Resolved
CMP-0158,2026-07-18,Email,Japan,Premium Plan,Returns & Refunds,Return pickup delayed,High,61,4,Positive,Resolved
CMP-0159,2026-07-29,Email,India,Standard Plan,Product Quality,Missing component in package,Low,44,4,Positive,Resolved
CMP-0160,2026-07-02,Web Form,Singapore,Standard Plan,Subscription,Subscription benefit missing,Medium,17,5,Positive,Resolved
CMP-0161,2026-07-26,Email,Singapore,Premium Plan,Billing & Payments,Refund not received,High,14,5,Positive,Resolved
CMP-0162,2026-07-01,Phone,Japan,Marketplace,Technical Issue,Website page not loading,High,12,5,Positive,Resolved
CMP-0163,2026-07-04,Email,India,Premium Plan,Returns & Refunds,Exchange request pending,Medium,27,4,Positive,Resolved
CMP-0164,2026-07-01,Web Form,Japan,Marketplace,Technical Issue,Mobile app crashes,High,25,5,Positive,Resolved
CMP-0165,2026-07-19,Chat,UK,Web Store,Login & Account,Cannot update profile details,Low,12,5,Positive,Resolved
CMP-0166,2026-07-18,Social Media,Japan,Marketplace,Service Experience,Support response was slow,Low,21,4,Positive,Resolved
CMP-0167,2026-07-12,Email,India,Mobile App,Technical Issue,Checkout button not working,Medium,18,4,Positive,Resolved
CMP-0168,2026-07-27,Email,Japan,Web Store,Login & Account,Account locked after login attempts,High,13,5,Positive,Pending
CMP-0169,2026-07-02,Email,USA,Standard Plan,Returns & Refunds,Refund status unclear,Medium,29,4,Positive,Resolved
CMP-0170,2026-07-16,Chat,Singapore,Marketplace,Billing & Payments,Unexpected charge on account,Medium,16,4,Positive,Resolved
CMP-0171,2026-07-29,Email,USA,Standard Plan,Product Quality,Missing component in package,Medium,25,5,Positive,Pending
CMP-0172,2026-07-09,Phone,India,Marketplace,Service Experience,Customer wants escalation,Medium,23,4,Positive,Resolved
CMP-0173,2026-07-11,Chat,India,Mobile App,Service Experience,Agent was not helpful,Medium,18,5,Positive,Resolved
CMP-0174,2026-07-20,Chat,India,Premium Plan,Technical Issue,Error while placing order,Low,8,4,Positive,Resolved
CMP-0175,2026-07-31,Chat,USA,Web Store,Login & Account,Two-factor authentication issue,Low,7,5,Positive,Resolved
CMP-0176,2026-07-12,Email,USA,Premium Plan,Technical Issue,Website page not loading,High,19,5,Positive,Resolved
CMP-0177,2026-07-05,Chat,USA,Marketplace,Technical Issue,Checkout button not working,High,23,4,Positive,Resolved
CMP-0178,2026-07-16,Social Media,India,Web Store,Returns & Refunds,Refund status unclear,Low,41,4,Positive,Resolved
CMP-0179,2026-07-07,Email,UK,Standard Plan,Login & Account,Two-factor authentication issue,Low,9,5,Positive,Resolved
CMP-0180,2026-07-22,Social Media,USA,Premium Plan,Subscription,Subscription benefit missing,Medium,17,4,Positive,Resolved
CMP-0181,2026-07-26,Phone,Singapore,Web Store,Subscription,Subscription renewed unexpectedly,Medium,18,5,Positive,Escalated
CMP-0182,2026-07-15,Email,Japan,Premium Plan,Delivery,Delivery address issue,Low,26,5,Positive,Resolved
CMP-0183,2026-07-03,Chat,USA,Marketplace,Delivery,Delivery address issue,Low,34,4,Positive,Resolved
CMP-0184,2026-07-21,Email,USA,Marketplace,Login & Account,Cannot update profile details,Low,10,5,Positive,Resolved
CMP-0185,2026-07-06,Web Form,Japan,Premium Plan,Technical Issue,Mobile app crashes,Medium,18,4,Positive,Pending
CMP-0186,2026-07-05,Email,Singapore,Premium Plan,Product Quality,Missing component in package,Low,36,5,Positive,Resolved
CMP-0187,2026-07-11,Email,UK,Marketplace,Returns & Refunds,Refund status unclear,High,63,4,Positive,Resolved
CMP-0188,2026-07-21,Web Form,USA,Premium Plan,Billing & Payments,Charged twice for the same order,High,24,4,Positive,Resolved
CMP-0189,2026-07-21,Chat,UK,Premium Plan,Returns & Refunds,Return request not processed,High,54,4,Positive,Resolved
CMP-0190,2026-07-06,Chat,India,Mobile App,Product Quality,Wrong product received,High,63,3,Neutral,Resolved
CMP-0191,2026-07-13,Chat,USA,Premium Plan,Delivery,Package not delivered,Medium,19,4,Positive,Resolved
CMP-0192,2026-07-04,Email,Japan,Web Store,Delivery,Delivery address issue,Low,7,5,Positive,Resolved
CMP-0193,2026-07-07,Web Form,Singapore,Premium Plan,Technical Issue,Website page not loading,Medium,13,5,Positive,Resolved
CMP-0194,2026-07-07,Web Form,Japan,Web Store,Technical Issue,Mobile app crashes,High,20,5,Positive,Resolved
CMP-0195,2026-07-14,Chat,India,Mobile App,Returns & Refunds,Exchange request pending,High,55,4,Positive,Resolved
CMP-0196,2026-07-18,Chat,India,Marketplace,Delivery,Delivery address issue,Low,19,5,Positive,Resolved
CMP-0197,2026-07-04,Web Form,UK,Marketplace,Technical Issue,Checkout button not working,Low,9,5,Positive,Resolved
CMP-0198,2026-07-02,Email,Japan,Marketplace,Subscription,Subscription renewed unexpectedly,High,22,4,Positive,Resolved
CMP-0199,2026-07-05,Chat,India,Marketplace,Delivery,Delivery address issue,Low,11,5,Positive,Resolved
CMP-0200,2026-07-18,Chat,Japan,Marketplace,Service Experience,Issue was transferred multiple times,Low,21,5,Positive,Resolved
CMP-0201,2026-07-10,Phone,Singapore,Marketplace,Billing & Payments,Unexpected charge on account,Medium,6,5,Positive,Resolved
CMP-0202,2026-07-17,Phone,UK,Web Store,Service Experience,Agent was not helpful,Low,22,5,Positive,Resolved
CMP-0203,2026-07-07,Email,Singapore,Mobile App,Billing & Payments,Refund not received,High,11,5,Positive,Resolved
CMP-0204,2026-07-28,Chat,UK,Standard Plan,Login & Account,Two-factor authentication issue,Medium,6,5,Positive,Resolved
CMP-0205,2026-07-11,Social Media,Japan,Standard Plan,Delivery,Wrong delivery status,Low,29,5,Positive,Resolved
CMP-0206,2026-07-09,Phone,India,Web Store,Delivery,Wrong delivery status,Medium,34,4,Positive,Pending
CMP-0207,2026-07-12,Phone,Japan,Standard Plan,Login & Account,Account locked after login attempts,Low,4,5,Positive,Resolved
CMP-0208,2026-07-31,Web Form,India,Premium Plan,Delivery,Delivery address issue,Medium,31,4,Positive,Escalated
CMP-0209,2026-07-07,Phone,USA,Web Store,Delivery,Delivery address issue,High,43,4,Positive,Pending
CMP-0210,2026-07-08,Email,UK,Marketplace,Billing & Payments,Refund not received,High,19,5,Positive,Resolved
CMP-0211,2026-07-31,Email,USA,Mobile App,Technical Issue,Error while placing order,High,30,5,Positive,Resolved
CMP-0212,2026-07-11,Chat,India,Premium Plan,Returns & Refunds,Exchange request pending,Medium,38,5,Positive,Resolved
CMP-0213,2026-07-30,Chat,USA,Mobile App,Returns & Refunds,Refund status unclear,Low,51,5,Positive,Resolved
CMP-0214,2026-07-29,Web Form,India,Premium Plan,Subscription,Subscription benefit missing,Medium,10,5,Positive,Resolved
CMP-0215,2026-07-17,Chat,Singapore,Marketplace,Subscription,Plan upgrade issue,High,21,4,Positive,Pending
CMP-0216,2026-07-23,Chat,USA,Premium Plan,Delivery,Order delivered late,Low,16,4,Positive,Resolved
CMP-0217,2026-07-27,Email,USA,Standard Plan,Returns & Refunds,Refund status unclear,Medium,38,5,Positive,Resolved
CMP-0218,2026-07-09,Chat,Singapore,Mobile App,Billing & Payments,Refund not received,High,21,5,Positive,Resolved
CMP-0219,2026-07-09,Chat,USA,Mobile App,Delivery,Wrong delivery status,High,43,3,Neutral,Resolved
CMP-0220,2026-07-30,Chat,India,Marketplace,Billing & Payments,Charged twice for the same order,High,5,5,Positive,Resolved
CMP-0221,2026-07-16,Chat,India,Web Store,Subscription,Plan upgrade issue,Low,18,5,Positive,Resolved
CMP-0222,2026-07-25,Phone,USA,Web Store,Technical Issue,Error while placing order,Low,4,5,Positive,Resolved
CMP-0223,2026-07-27,Email,Japan,Mobile App,Technical Issue,Checkout button not working,Low,9,5,Positive,Resolved
CMP-0224,2026-07-16,Email,India,Marketplace,Delivery,Delivery address issue,Medium,31,4,Positive,Resolved
CMP-0225,2026-07-22,Chat,India,Standard Plan,Technical Issue,Error while placing order,High,14,4,Positive,Resolved
CMP-0226,2026-07-23,Chat,India,Premium Plan,Billing & Payments,Refund not received,Low,13,5,Positive,Resolved
CMP-0227,2026-07-25,Chat,India,Web Store,Subscription,Unable to cancel subscription,Low,10,5,Positive,Resolved
CMP-0228,2026-07-13,Chat,Singapore,Standard Plan,Service Experience,Customer wants escalation,Low,17,4,Positive,Resolved
CMP-0229,2026-07-17,Email,Singapore,Standard Plan,Billing & Payments,Unexpected charge on account,Low,13,4,Positive,Resolved
CMP-0230,2026-07-13,Phone,Japan,Marketplace,Service Experience,Customer wants escalation,Medium,17,4,Positive,Resolved
CMP-0231,2026-07-25,Email,UK,Marketplace,Billing & Payments,Charged twice for the same order,High,23,4,Positive,Resolved
CMP-0232,2026-07-08,Chat,UK,Mobile App,Billing & Payments,Charged twice for the same order,Medium,10,5,Positive,Resolved
CMP-0233,2026-07-27,Email,Singapore,Web Store,Product Quality,Product arrived damaged,Medium,34,4,Positive,Resolved
CMP-0234,2026-07-08,Email,USA,Marketplace,Login & Account,Cannot update profile details,Medium,12,5,Positive,Resolved
CMP-0235,2026-07-02,Phone,Japan,Standard Plan,Returns & Refunds,Refund status unclear,Low,34,4,Positive,Resolved
CMP-0236,2026-07-25,Chat,India,Web Store,Delivery,Delivery address issue,Medium,25,3,Neutral,Resolved
